model,problem,level,Average accuracy,Failure,weighted_accuracy,weighted_failed,complexity,lvl_correctness,is_close
Mistral-7b,gcp_d_Results,Lvl 8,0.7,0.1,0.10181818181818181,0.01,NP-Complete,"[True, True, True, True, False, False, True, 'failed', True, True]",False
Mistral-7b,gcp_d_Results,Lvl 9,0.6,0.0,0.09818181818181818,0.0,NP-Complete,"[False, True, False, True, True, True, False, True, True, False]",False
Mistral-7b,gcp_d_Results,Lvl 10,0.5,0.1,0.09090909090909091,0.01,NP-Complete,"[True, True, True, True, True, False, False, 'failed', False, False]",False
Claude Instant,sppResults,Lvl 1,0.4,0.0,0.007272727272727273,0.0,P,"[False, True, False, True, True, True, False, False, False, False]",True
Claude Instant,sppResults,Lvl 2,0.4,0.0,0.014545454545454545,0.0,P,"[True, False, False, False, True, True, False, True, False, False]",True
Claude Instant,sppResults,Lvl 3,0.5,0.1,0.02727272727272727,0.01,P,"[True, True, True, False, False, False, 'failed', True, False, True]",True
Claude Instant,sppResults,Lvl 4,0.3,0.2,0.021818181818181816,0.02,P,"[True, True, True, False, False, False, 'failed', False, False, 'failed']",True
Claude Instant,sppResults,Lvl 5,0.4,0.0,0.03636363636363636,0.0,P,"[False, True, True, False, False, False, False, False, True, True]",True
Claude Instant,sppResults,Lvl 6,0.3,0.0,0.03272727272727272,0.0,P,"[True, True, False, False, False, True, False, False, False, False]",True
Claude Instant,sppResults,Lvl 7,0.2,0.1,0.025454545454545455,0.01,P,"[False, False, False, True, 'failed', False, True, False, False, False]",True
Claude Instant,sppResults,Lvl 8,0.2,0.1,0.02909090909090909,0.01,P,"[False, False, False, False, False, False, True, False, True, 'failed']",True
Claude Instant,sppResults,Lvl 9,0.4,0.0,0.06545454545454546,0.0,P,"[False, False, False, False, True, False, True, True, False, True]",True
Claude Instant,sppResults,Lvl 10,0.0,0.0,0.0,0.0,P,"[False, False, False, False, False, False, False, False, False, False]",True
GPT 3.5 Turbo,sppResults,Lvl 1,0.2,0.0,0.0036363636363636364,0.0,P,"[False, True, False, False, False, False, False, True, False, False]",True
GPT 3.5 Turbo,sppResults,Lvl 2,0.2,0.0,0.007272727272727273,0.0,P,"[False, False, False, False, False, False, False, True, True, False]",True
GPT 3.5 Turbo,sppResults,Lvl 3,0.4,0.0,0.02181818181818182,0.0,P,"[False, False, True, True, False, True, False, False, False, True]",True
GPT 3.5 Turbo,sppResults,Lvl 4,0.3,0.0,0.021818181818181816,0.0,P,"[True, False, False, False, True, False, True, False, False, False]",True
GPT 3.5 Turbo,sppResults,Lvl 5,0.2,0.0,0.01818181818181818,0.0,P,"[False, False, False, False, False, False, True, False, False, True]",True
GPT 3.5 Turbo,sppResults,Lvl 6,0.3,0.0,0.03272727272727272,0.0,P,"[False, True, False, False, False, True, True, False, False, False]",True
GPT 3.5 Turbo,sppResults,Lvl 7,0.3,0.0,0.038181818181818185,0.0,P,"[False, True, True, True, False, False, False, False, False, False]",True
GPT 3.5 Turbo,sppResults,Lvl 8,0.2,0.0,0.02909090909090909,0.0,P,"[False, True, False, False, True, False, False, False, False, False]",True
GPT 3.5 Turbo,sppResults,Lvl 9,0.3,0.0,0.04909090909090909,0.0,P,"[False, False, False, False, True, False, True, False, False, True]",True
GPT 3.5 Turbo,sppResults,Lvl 10,0.0,0.0,0.0,0.0,P,"[False, False, False, False, False, False, False, False, False, False]",True
Vicuna-13b,mspResults,Lvl 1,0.0,1.0,0.0,0.1,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Vicuna-13b,mspResults,Lvl 2,0.0,1.0,0.0,0.1,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Vicuna-13b,mspResults,Lvl 3,0.0,1.0,0.0,0.1,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Vicuna-13b,mspResults,Lvl 4,0.0,0.9,0.0,0.09,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', False, 'failed', 'failed']",False
Vicuna-13b,mspResults,Lvl 5,0.0,0.5,0.0,0.05,NP-Hard,"['failed', False, 'failed', False, 'failed', False, 'failed', False, False, 'failed']",False
Vicuna-13b,mspResults,Lvl 6,0.0,0.8,0.0,0.08,NP-Hard,"[False, 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', False, 'failed', 'failed']",False
Vicuna-13b,mspResults,Lvl 7,0.0,1.0,0.0,0.1,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Vicuna-13b,mspResults,Lvl 8,0.0,1.0,0.0,0.1,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Vicuna-13b,mspResults,Lvl 9,0.0,1.0,0.0,0.1,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Vicuna-13b,mspResults,Lvl 10,0.0,1.0,0.0,0.1,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,gcp_d_Results,Lvl 1,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,gcp_d_Results,Lvl 2,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,gcp_d_Results,Lvl 3,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,gcp_d_Results,Lvl 4,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,gcp_d_Results,Lvl 5,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,gcp_d_Results,Lvl 6,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,gcp_d_Results,Lvl 7,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,gcp_d_Results,Lvl 8,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,gcp_d_Results,Lvl 9,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,gcp_d_Results,Lvl 10,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Vicuna-13b,tsp_d_Results,Lvl 1,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Vicuna-13b,tsp_d_Results,Lvl 2,0.1,0.6,0.0036363636363636364,0.06,NP-Complete,"['failed', 'failed', False, False, False, True, 'failed', 'failed', 'failed', 'failed']",False
Vicuna-13b,tsp_d_Results,Lvl 3,0.2,0.4,0.01090909090909091,0.04,NP-Complete,"[False, False, 'failed', False, True, 'failed', False, True, 'failed', 'failed']",False
Vicuna-13b,tsp_d_Results,Lvl 4,0.2,0.8,0.014545454545454545,0.08,NP-Complete,"['failed', 'failed', True, 'failed', 'failed', 'failed', 'failed', True, 'failed', 'failed']",False
Vicuna-13b,tsp_d_Results,Lvl 5,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Vicuna-13b,tsp_d_Results,Lvl 6,0.0,0.9,0.0,0.09,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', False]",False
Vicuna-13b,tsp_d_Results,Lvl 7,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Vicuna-13b,tsp_d_Results,Lvl 8,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Vicuna-13b,tsp_d_Results,Lvl 9,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Vicuna-13b,tsp_d_Results,Lvl 10,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Mistral-7b,mspResults,Lvl 1,0.0,1.0,0.0,0.1,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Mistral-7b,mspResults,Lvl 2,0.0,1.0,0.0,0.1,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Mistral-7b,mspResults,Lvl 3,0.0,1.0,0.0,0.1,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Mistral-7b,mspResults,Lvl 4,0.0,0.9,0.0,0.09,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', False, 'failed', 'failed', 'failed', 'failed']",False
Mistral-7b,mspResults,Lvl 5,0.0,0.9,0.0,0.09,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', False, 'failed', 'failed']",False
Mistral-7b,mspResults,Lvl 6,0.0,1.0,0.0,0.1,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Mistral-7b,mspResults,Lvl 7,0.0,0.8,0.0,0.08,NP-Hard,"[False, 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', False, 'failed', 'failed']",False
Mistral-7b,mspResults,Lvl 8,0.0,1.0,0.0,0.1,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Mistral-7b,mspResults,Lvl 9,0.0,0.9,0.0,0.09,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', False, 'failed', 'failed', 'failed']",False
Mistral-7b,mspResults,Lvl 10,0.0,1.0,0.0,0.1,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
PaLM 2,tspResults,Lvl 1,0.4,0.0,0.007272727272727273,0.0,NP-Hard,"[False, False, False, False, False, False, True, True, True, True]",True
PaLM 2,tspResults,Lvl 2,0.0,0.0,0.0,0.0,NP-Hard,"[False, False, False, False, False, False, False, False, False, False]",True
PaLM 2,tspResults,Lvl 3,0.0,0.0,0.0,0.0,NP-Hard,"[False, False, False, False, False, False, False, False, False, False]",True
PaLM 2,tspResults,Lvl 4,0.0,0.2,0.0,0.02,NP-Hard,"[False, 'failed', 'failed', False, False, False, False, False, False, False]",True
PaLM 2,tspResults,Lvl 5,0.0,0.9,0.0,0.09,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', False, 'failed', 'failed']",True
PaLM 2,tspResults,Lvl 6,0.0,1.0,0.0,0.1,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",True
PaLM 2,tspResults,Lvl 7,0.0,1.0,0.0,0.1,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",True
PaLM 2,tspResults,Lvl 8,0.0,1.0,0.0,0.1,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",True
PaLM 2,tspResults,Lvl 9,0.0,1.0,0.0,0.1,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",True
PaLM 2,tspResults,Lvl 10,0.0,1.0,0.0,0.1,NP-Hard,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",True
Phi-1.5,bspResults,Lvl 1,0.0,1.0,0.0,0.1,P,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,bspResults,Lvl 2,0.0,1.0,0.0,0.1,P,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,bspResults,Lvl 3,0.0,1.0,0.0,0.1,P,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,bspResults,Lvl 4,0.0,1.0,0.0,0.1,P,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,bspResults,Lvl 5,0.0,1.0,0.0,0.1,P,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,bspResults,Lvl 6,0.0,1.0,0.0,0.1,P,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,bspResults,Lvl 7,0.0,1.0,0.0,0.1,P,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,bspResults,Lvl 8,0.0,1.0,0.0,0.1,P,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,bspResults,Lvl 9,0.0,1.0,0.0,0.1,P,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,bspResults,Lvl 10,0.0,1.0,0.0,0.1,P,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
GPT 4 Turbo,tspResults,Lvl 1,0.5,0.0,0.00909090909090909,0.0,NP-Hard,"[False, True, True, False, True, True, False, True, False, False]",True
GPT 4 Turbo,tspResults,Lvl 2,0.7,0.0,0.025454545454545452,0.0,NP-Hard,"[False, False, True, True, True, True, False, True, True, True]",True
GPT 4 Turbo,tspResults,Lvl 3,0.2,0.0,0.01090909090909091,0.0,NP-Hard,"[False, False, False, False, False, False, False, True, True, False]",True
GPT 4 Turbo,tspResults,Lvl 4,0.0,0.0,0.0,0.0,NP-Hard,"[False, False, False, False, False, False, False, False, False, False]",True
GPT 4 Turbo,tspResults,Lvl 5,0.1,0.0,0.00909090909090909,0.0,NP-Hard,"[False, False, False, False, False, False, False, False, True, False]",True
GPT 4 Turbo,tspResults,Lvl 6,0.0,0.0,0.0,0.0,NP-Hard,"[False, False, False, False, False, False, False, False, False, False]",True
GPT 4 Turbo,tspResults,Lvl 7,0.1,0.0,0.012727272727272728,0.0,NP-Hard,"[False, False, False, False, False, False, False, False, False, True]",True
GPT 4 Turbo,tspResults,Lvl 8,0.1,0.0,0.014545454545454545,0.0,NP-Hard,"[False, False, False, False, True, False, False, False, False, False]",True
GPT 4 Turbo,tspResults,Lvl 9,0.0,0.0,0.0,0.0,NP-Hard,"[False, False, False, False, False, False, False, False, False, False]",True
GPT 4 Turbo,tspResults,Lvl 10,0.0,0.1,0.0,0.01,NP-Hard,"[False, False, False, False, False, 'failed', False, False, False, False]",True
Claude 2,mspResults,Lvl 1,0.0,0.1,0.0,0.01,NP-Hard,"[False, False, False, False, False, False, False, False, False, 'failed']",True
Claude 2,mspResults,Lvl 2,0.0,0.1,0.0,0.01,NP-Hard,"[False, False, False, 'failed', False, False, False, False, False, False]",True
Claude 2,mspResults,Lvl 3,0.0,0.0,0.0,0.0,NP-Hard,"[False, False, False, False, False, False, False, False, False, False]",True
Claude 2,mspResults,Lvl 4,0.0,0.0,0.0,0.0,NP-Hard,"[False, False, False, False, False, False, False, False, False, False]",True
Claude 2,mspResults,Lvl 5,0.0,0.0,0.0,0.0,NP-Hard,"[False, False, False, False, False, False, False, False, False, False]",True
Claude 2,mspResults,Lvl 6,0.0,0.1,0.0,0.01,NP-Hard,"[False, False, False, 'failed', False, False, False, False, False, False]",True
Claude 2,mspResults,Lvl 7,0.0,0.0,0.0,0.0,NP-Hard,"[False, False, False, False, False, False, False, False, False, False]",True
Claude 2,mspResults,Lvl 8,0.0,0.1,0.0,0.01,NP-Hard,"[False, False, False, False, 'failed', False, False, False, False, False]",True
Claude 2,mspResults,Lvl 9,0.0,0.0,0.0,0.0,NP-Hard,"[False, False, False, False, False, False, False, False, False, False]",True
Claude 2,mspResults,Lvl 10,0.0,0.0,0.0,0.0,NP-Hard,"[False, False, False, False, False, False, False, False, False, False]",True
Mistral-7b,tsp_d_Results,Lvl 1,0.6,0.1,0.010909090909090908,0.01,NP-Complete,"['failed', False, True, True, False, True, True, True, True, False]",False
Mistral-7b,tsp_d_Results,Lvl 2,0.7,0.0,0.025454545454545452,0.0,NP-Complete,"[False, True, True, True, False, True, True, False, True, True]",False
Mistral-7b,tsp_d_Results,Lvl 3,0.5,0.1,0.02727272727272727,0.01,NP-Complete,"['failed', True, True, True, False, True, True, False, False, False]",False
Mistral-7b,tsp_d_Results,Lvl 4,0.6,0.1,0.04363636363636363,0.01,NP-Complete,"[False, True, True, True, 'failed', False, True, True, True, False]",False
Mistral-7b,tsp_d_Results,Lvl 5,0.4,0.0,0.03636363636363636,0.0,NP-Complete,"[True, False, False, False, True, False, True, False, True, False]",False
Mistral-7b,tsp_d_Results,Lvl 6,0.6,0.0,0.06545454545454545,0.0,NP-Complete,"[True, False, True, False, True, False, False, True, True, True]",False
Mistral-7b,tsp_d_Results,Lvl 7,0.7,0.0,0.08909090909090908,0.0,NP-Complete,"[False, False, True, True, True, True, True, True, False, True]",False
Mistral-7b,tsp_d_Results,Lvl 8,0.6,0.1,0.08727272727272727,0.01,NP-Complete,"['failed', False, True, False, True, True, True, True, True, False]",False
Mistral-7b,tsp_d_Results,Lvl 9,0.7,0.0,0.11454545454545455,0.0,NP-Complete,"[True, True, False, True, True, True, False, True, False, True]",False
Mistral-7b,tsp_d_Results,Lvl 10,0.7,0.0,0.12727272727272726,0.0,NP-Complete,"[False, False, True, True, True, False, True, True, True, True]",False
MPT-30b,kspResults,Lvl 1,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
MPT-30b,kspResults,Lvl 2,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
MPT-30b,kspResults,Lvl 3,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
MPT-30b,kspResults,Lvl 4,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
MPT-30b,kspResults,Lvl 5,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
MPT-30b,kspResults,Lvl 6,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
MPT-30b,kspResults,Lvl 7,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
MPT-30b,kspResults,Lvl 8,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
MPT-30b,kspResults,Lvl 9,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
MPT-30b,kspResults,Lvl 10,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
GPT 4 Turbo,tsp_d_Results,Lvl 1,1.0,0.0,0.01818181818181818,0.0,NP-Complete,"[True, True, True, True, True, True, True, True, True, True]",True
GPT 4 Turbo,tsp_d_Results,Lvl 2,1.0,0.0,0.03636363636363636,0.0,NP-Complete,"[True, True, True, True, True, True, True, True, True, True]",True
GPT 4 Turbo,tsp_d_Results,Lvl 3,0.8,0.0,0.04363636363636364,0.0,NP-Complete,"[True, True, True, True, True, True, True, False, False, True]",True
GPT 4 Turbo,tsp_d_Results,Lvl 4,0.2,0.0,0.014545454545454545,0.0,NP-Complete,"[False, False, False, False, True, False, False, True, False, False]",True
GPT 4 Turbo,tsp_d_Results,Lvl 5,0.1,0.0,0.00909090909090909,0.0,NP-Complete,"[False, False, False, False, True, False, False, False, False, False]",True
GPT 4 Turbo,tsp_d_Results,Lvl 6,0.0,0.0,0.0,0.0,NP-Complete,"[False, False, False, False, False, False, False, False, False, False]",True
GPT 4 Turbo,tsp_d_Results,Lvl 7,0.0,0.0,0.0,0.0,NP-Complete,"[False, False, False, False, False, False, False, False, False, False]",True
GPT 4 Turbo,tsp_d_Results,Lvl 8,0.0,0.0,0.0,0.0,NP-Complete,"[False, False, False, False, False, False, False, False, False, False]",True
GPT 4 Turbo,tsp_d_Results,Lvl 9,0.0,0.0,0.0,0.0,NP-Complete,"[False, False, False, False, False, False, False, False, False, False]",True
GPT 4 Turbo,tsp_d_Results,Lvl 10,0.1,0.0,0.01818181818181818,0.0,NP-Complete,"[True, False, False, False, False, False, False, False, False, False]",True
Yi-34b,sppResults,Lvl 1,0.0,0.4,0.0,0.04,P,"[False, 'failed', 'failed', False, False, False, False, False, 'failed', 'failed']",False
Yi-34b,sppResults,Lvl 2,0.0,1.0,0.0,0.1,P,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
