,model,problem,level,Average accuracy,Failure,difference,weighted_accuracy,weighted_failed,lvl_correctness,is_close
0,Claude Instant,edpResults,1,0.4,0.1,5,0.007272727272727273,0.01,"[True, False, True, False, 'failed', True, True, False, False, False]",True
1,Claude Instant,edpResults,2,0.2,0.1,5,0.007272727272727273,0.01,"[True, False, False, False, False, False, True, False, False, 'failed']",True
2,Claude Instant,edpResults,3,0.4,0.0,5,0.02181818181818182,0.0,"[True, False, True, True, True, False, False, False, False, False]",True
3,Claude Instant,edpResults,4,0.2,0.1,5,0.014545454545454545,0.01,"[False, True, False, False, False, False, False, True, 'failed', False]",True
4,Claude Instant,edpResults,5,0.5,0.0,5,0.045454545454545456,0.0,"[True, True, True, True, False, True, False, False, False, False]",True
5,Claude Instant,edpResults,6,0.3,0.0,5,0.03272727272727272,0.0,"[True, True, False, False, False, False, True, False, False, False]",True
6,Claude Instant,edpResults,7,0.1,0.0,5,0.012727272727272728,0.0,"[False, False, False, False, False, False, False, True, False, False]",True
7,Claude Instant,edpResults,8,0.1,0.0,5,0.014545454545454545,0.0,"[False, False, False, False, False, False, False, False, False, True]",True
8,Claude Instant,edpResults,9,0.2,0.0,5,0.03272727272727273,0.0,"[False, True, False, False, True, False, False, False, False, False]",True
9,Claude Instant,edpResults,10,0.3,0.0,5,0.05454545454545454,0.0,"[True, False, False, False, False, False, True, False, True, False]",True
0,PaLM 2,edpResults,6,0.1,0.1,-5,0.015000000000000003,0.02,"[False, True, False, 'failed', False, False, False, False, False, False]",True
1,PaLM 2,edpResults,7,0.1,0.2,-5,0.0175,0.04,"[False, False, True, 'failed', False, False, False, 'failed', False, False]",True
2,PaLM 2,edpResults,8,0.2,0.0,-5,0.04,0.0,"[True, False, True, False, False, False, False, False, False, False]",True
3,PaLM 2,edpResults,9,0.1,0.5,-5,0.0225,0.1,"['failed', 'failed', False, 'failed', 'failed', False, False, True, 'failed', False]",True
4,PaLM 2,edpResults,10,0.3,0.0,-5,0.075,0.0,"[False, True, False, True, True, False, False, False, False, False]",True
0,Claude Instant,edpResults,2,0.6,0.0,-1,0.022222222222222223,0.0,"[False, True, True, False, True, False, False, True, True, True]",True
1,Claude Instant,edpResults,3,0.6,0.0,-1,0.03333333333333333,0.0,"[True, False, True, True, True, False, True, False, True, False]",True
2,Claude Instant,edpResults,4,0.2,0.2,-1,0.014814814814814815,0.022222222222222223,"[True, False, False, False, False, 'failed', True, 'failed', False, False]",True
3,Claude Instant,edpResults,5,0.3,0.3,-1,0.027777777777777776,0.03333333333333333,"[False, 'failed', 'failed', True, True, False, False, True, 'failed', False]",True
4,Claude Instant,edpResults,6,0.3,0.0,-1,0.03333333333333333,0.0,"[False, True, False, False, False, False, True, True, False, False]",True
5,Claude Instant,edpResults,7,0.1,0.0,-1,0.012962962962962964,0.0,"[False, False, False, False, False, False, False, False, True, False]",True
6,Claude Instant,edpResults,8,0.1,0.0,-1,0.014814814814814815,0.0,"[False, False, True, False, False, False, False, False, False, False]",True
7,Claude Instant,edpResults,9,0.3,0.0,-1,0.049999999999999996,0.0,"[False, False, False, False, True, False, True, False, False, True]",True
8,Claude Instant,edpResults,10,0.2,0.0,-1,0.037037037037037035,0.0,"[False, True, False, False, False, False, False, False, True, False]",True
0,GPT 4 Turbo,edpResults,5,0.6,0.0,-4,0.06666666666666667,0.0,"[True, True, False, True, True, True, False, False, False, True]",True
1,GPT 4 Turbo,edpResults,6,0.8,0.0,-4,0.10666666666666669,0.0,"[True, True, True, True, True, False, True, True, True, False]",True
2,GPT 4 Turbo,edpResults,7,0.4,0.0,-4,0.06222222222222223,0.0,"[False, False, True, False, False, False, True, False, True, True]",True
3,GPT 4 Turbo,edpResults,8,0.5,0.0,-4,0.08888888888888889,0.0,"[True, True, True, False, False, True, False, False, False, True]",True
4,GPT 4 Turbo,edpResults,9,0.6,0.0,-4,0.11999999999999998,0.0,"[True, False, True, True, True, True, True, False, False, False]",True
5,GPT 4 Turbo,edpResults,10,0.5,0.0,-4,0.1111111111111111,0.0,"[False, False, False, True, True, True, False, True, False, True]",True
0,PaLM 2,edpResults,1,0.4,0.0,4,0.007272727272727273,0.0,"[True, False, True, False, True, True, False, False, False, False]",True
1,PaLM 2,edpResults,2,0.0,0.0,4,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
2,PaLM 2,edpResults,3,0.0,0.0,4,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
3,PaLM 2,edpResults,4,0.0,0.0,4,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
4,PaLM 2,edpResults,5,0.1,0.0,4,0.00909090909090909,0.0,"[False, False, False, False, False, False, False, True, False, False]",True
5,PaLM 2,edpResults,6,0.0,0.0,4,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
6,PaLM 2,edpResults,7,0.0,0.0,4,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
7,PaLM 2,edpResults,8,0.2,0.0,4,0.02909090909090909,0.0,"[True, False, True, False, False, False, False, False, False, False]",True
8,PaLM 2,edpResults,9,0.5,0.0,4,0.08181818181818182,0.0,"[True, False, True, True, False, False, False, True, True, False]",True
9,PaLM 2,edpResults,10,0.4,0.0,4,0.07272727272727272,0.0,"[False, False, True, True, False, False, False, True, True, False]",True
0,GPT 4 Turbo,edpResults,1,0.9,0.0,4,0.016363636363636365,0.0,"[True, True, True, False, True, True, True, True, True, True]",True
1,GPT 4 Turbo,edpResults,2,0.7,0.0,4,0.025454545454545452,0.0,"[False, False, True, True, True, True, True, True, False, True]",True
2,GPT 4 Turbo,edpResults,3,0.8,0.0,4,0.04363636363636364,0.0,"[True, False, True, True, False, True, True, True, True, True]",True
3,GPT 4 Turbo,edpResults,4,0.7,0.0,4,0.050909090909090904,0.0,"[False, False, True, True, True, True, True, True, False, True]",True
4,GPT 4 Turbo,edpResults,5,0.7,0.0,4,0.06363636363636363,0.0,"[True, True, True, True, True, True, False, False, False, True]",True
5,GPT 4 Turbo,edpResults,6,0.5,0.0,4,0.05454545454545454,0.0,"[False, False, True, False, False, True, True, True, False, True]",True
6,GPT 4 Turbo,edpResults,7,0.4,0.0,4,0.05090909090909091,0.0,"[False, False, True, False, False, True, True, False, False, True]",True
7,GPT 4 Turbo,edpResults,8,0.3,0.0,4,0.04363636363636363,0.0,"[True, False, True, False, False, False, False, False, False, True]",True
8,GPT 4 Turbo,edpResults,9,0.6,0.0,4,0.09818181818181818,0.0,"[True, False, True, True, True, False, True, False, False, True]",True
9,GPT 4 Turbo,edpResults,10,0.5,0.0,4,0.09090909090909091,0.0,"[False, False, False, True, True, True, False, True, False, True]",True
0,GPT 3.5 Turbo,edpResults,2,0.7,0.0,-1,0.025925925925925925,0.0,"[True, False, True, False, False, True, True, True, True, True]",True
1,GPT 3.5 Turbo,edpResults,3,0.3,0.0,-1,0.016666666666666666,0.0,"[False, False, False, True, False, False, False, False, True, True]",True
2,GPT 3.5 Turbo,edpResults,4,0.5,0.0,-1,0.037037037037037035,0.0,"[True, False, True, True, False, False, True, True, False, False]",True
3,GPT 3.5 Turbo,edpResults,5,0.8,0.0,-1,0.07407407407407407,0.0,"[True, True, True, True, False, True, True, False, True, True]",True
4,GPT 3.5 Turbo,edpResults,6,0.9,0.0,-1,0.1,0.0,"[True, True, True, True, True, True, True, True, False, True]",True
5,GPT 3.5 Turbo,edpResults,7,0.6,0.0,-1,0.07777777777777778,0.0,"[False, True, False, True, False, True, True, False, True, True]",True
6,GPT 3.5 Turbo,edpResults,8,0.3,0.0,-1,0.044444444444444446,0.0,"[False, True, False, False, False, False, False, True, True, False]",True
7,GPT 3.5 Turbo,edpResults,9,0.6,0.0,-1,0.09999999999999999,0.0,"[False, False, True, True, True, False, True, True, True, False]",True
8,GPT 3.5 Turbo,edpResults,10,0.2,0.0,-1,0.037037037037037035,0.0,"[False, False, False, True, True, False, False, False, False, False]",True
0,GPT 3.5 Turbo,edpResults,1,0.6,0.0,0,0.010909090909090908,0.0,"[False, True, False, True, True, False, False, True, True, True]",True
1,GPT 3.5 Turbo,edpResults,2,0.7,0.0,0,0.025454545454545452,0.0,"[False, True, True, True, True, True, True, False, False, True]",True
2,GPT 3.5 Turbo,edpResults,3,0.5,0.0,0,0.02727272727272727,0.0,"[False, False, True, False, False, True, False, True, True, True]",True
3,GPT 3.5 Turbo,edpResults,4,0.5,0.0,0,0.03636363636363636,0.0,"[False, False, True, True, False, True, True, False, False, True]",True
4,GPT 3.5 Turbo,edpResults,5,0.7,0.0,0,0.06363636363636363,0.0,"[True, False, False, True, True, True, True, False, True, True]",True
5,GPT 3.5 Turbo,edpResults,6,0.7,0.0,0,0.07636363636363636,0.0,"[True, True, True, True, True, False, True, True, False, False]",True
6,GPT 3.5 Turbo,edpResults,7,0.5,0.0,0,0.06363636363636363,0.0,"[False, True, False, True, False, False, True, False, True, True]",True
7,GPT 3.5 Turbo,edpResults,8,0.6,0.0,0,0.08727272727272727,0.0,"[True, True, True, False, False, False, False, True, True, True]",True
8,GPT 3.5 Turbo,edpResults,9,0.5,0.0,0,0.08181818181818182,0.0,"[False, False, True, True, True, False, True, True, False, False]",True
9,GPT 3.5 Turbo,edpResults,10,0.5,0.0,0,0.09090909090909091,0.0,"[False, False, False, True, True, True, False, True, True, False]",True
0,PaLM 2,edpResults,3,0.4,0.0,-2,0.02307692307692308,0.0,"[True, True, False, False, False, True, True, False, False, False]",True
1,PaLM 2,edpResults,4,0.6,0.0,-2,0.04615384615384615,0.0,"[False, False, True, False, False, True, True, True, True, True]",True
2,PaLM 2,edpResults,5,0.4,0.0,-2,0.038461538461538464,0.0,"[False, True, True, False, False, False, True, False, True, False]",True
3,PaLM 2,edpResults,6,0.1,0.6,-2,0.01153846153846154,0.075,"['failed', 'failed', 'failed', 'failed', 'failed', False, False, True, 'failed', False]",True
4,PaLM 2,edpResults,7,0.0,0.0,-2,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
5,PaLM 2,edpResults,8,0.2,0.0,-2,0.03076923076923077,0.0,"[True, False, True, False, False, False, False, False, False, False]",True
6,PaLM 2,edpResults,9,0.0,0.0,-2,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
7,PaLM 2,edpResults,10,0.3,0.0,-2,0.057692307692307696,0.0,"[False, False, False, True, False, True, False, False, True, False]",True
0,Claude Instant,edpResults,1,0.7,0.3,2,0.012727272727272726,0.03,"[True, True, True, 'failed', True, True, True, 'failed', 'failed', True]",True
1,Claude Instant,edpResults,2,0.6,0.0,2,0.021818181818181816,0.0,"[False, True, True, False, True, True, True, False, True, False]",True
2,Claude Instant,edpResults,3,0.3,0.0,2,0.01636363636363636,0.0,"[True, False, True, False, False, True, False, False, False, False]",True
3,Claude Instant,edpResults,4,0.4,0.0,2,0.02909090909090909,0.0,"[True, False, False, False, False, True, True, False, True, False]",True
4,Claude Instant,edpResults,5,0.4,0.0,2,0.03636363636363636,0.0,"[True, True, False, True, False, True, False, False, False, False]",True
5,Claude Instant,edpResults,6,0.3,0.0,2,0.03272727272727272,0.0,"[False, True, False, True, False, True, False, False, False, False]",True
6,Claude Instant,edpResults,7,0.3,0.1,2,0.038181818181818185,0.01,"[False, False, False, True, 'failed', True, False, True, False, False]",True
7,Claude Instant,edpResults,8,0.1,0.0,2,0.014545454545454545,0.0,"[False, False, False, False, False, False, True, False, False, False]",True
8,Claude Instant,edpResults,9,0.0,0.1,2,0.0,0.01,"[False, False, False, False, False, 'failed', False, False, False, False]",True
9,Claude Instant,edpResults,10,0.2,0.0,2,0.03636363636363636,0.0,"[False, False, False, False, False, False, False, True, True, False]",True
0,GPT 4 Turbo,edpResults,1,0.9,0.0,3,0.016363636363636365,0.0,"[True, True, True, True, True, True, True, True, False, True]",True
1,GPT 4 Turbo,edpResults,2,0.8,0.0,3,0.02909090909090909,0.0,"[True, False, True, True, True, True, True, True, True, False]",True
2,GPT 4 Turbo,edpResults,3,0.7,0.0,3,0.03818181818181818,0.0,"[False, False, False, True, True, True, True, True, True, True]",True
3,GPT 4 Turbo,edpResults,4,0.7,0.0,3,0.050909090909090904,0.0,"[False, True, True, True, False, True, True, True, False, True]",True
4,GPT 4 Turbo,edpResults,5,0.7,0.0,3,0.06363636363636363,0.0,"[True, True, True, True, True, True, False, False, False, True]",True
5,GPT 4 Turbo,edpResults,6,0.5,0.0,3,0.05454545454545454,0.0,"[False, False, True, False, False, True, True, True, False, True]",True
6,GPT 4 Turbo,edpResults,7,0.4,0.0,3,0.05090909090909091,0.0,"[False, False, True, False, False, True, True, False, False, True]",True
7,GPT 4 Turbo,edpResults,8,0.3,0.0,3,0.04363636363636363,0.0,"[True, False, True, False, False, False, False, False, False, True]",True
8,GPT 4 Turbo,edpResults,9,0.6,0.0,3,0.09818181818181818,0.0,"[True, False, True, True, True, False, True, False, False, True]",True
9,GPT 4 Turbo,edpResults,10,0.5,0.0,3,0.09090909090909091,0.0,"[False, False, False, True, True, True, False, True, False, True]",True
0,GPT 4 Turbo,edpResults,4,0.5,0.0,-3,0.04081632653061224,0.0,"[False, False, True, True, False, False, True, True, False, True]",True
1,GPT 4 Turbo,edpResults,5,0.8,0.0,-3,0.08163265306122448,0.0,"[False, True, True, True, False, True, True, True, True, True]",True
2,GPT 4 Turbo,edpResults,6,0.5,0.0,-3,0.061224489795918366,0.0,"[False, True, True, False, False, True, True, True, False, False]",True
3,GPT 4 Turbo,edpResults,7,0.4,0.0,-3,0.05714285714285715,0.0,"[True, False, False, True, False, True, True, False, False, False]",True
4,GPT 4 Turbo,edpResults,8,0.4,0.0,-3,0.0653061224489796,0.0,"[True, False, True, False, False, False, True, False, False, True]",True
5,GPT 4 Turbo,edpResults,9,0.5,0.0,-3,0.09183673469387756,0.0,"[True, False, True, True, True, False, True, False, False, False]",True
6,GPT 4 Turbo,edpResults,10,0.5,0.0,-3,0.10204081632653061,0.0,"[False, False, False, True, True, True, False, True, False, True]",True
0,PaLM 2,edpResults,1,0.4,0.4,3,0.007272727272727273,0.04,"['failed', 'failed', True, 'failed', True, True, False, False, 'failed', True]",True
1,PaLM 2,edpResults,2,0.0,0.0,3,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
2,PaLM 2,edpResults,3,0.1,0.0,3,0.005454545454545455,0.0,"[False, False, False, True, False, False, False, False, False, False]",True
3,PaLM 2,edpResults,4,0.0,0.0,3,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
4,PaLM 2,edpResults,5,0.1,0.0,3,0.00909090909090909,0.0,"[False, False, False, False, False, False, False, True, False, False]",True
5,PaLM 2,edpResults,6,0.1,0.0,3,0.01090909090909091,0.0,"[False, False, False, False, False, False, False, False, True, False]",True
6,PaLM 2,edpResults,7,0.0,0.0,3,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
7,PaLM 2,edpResults,8,0.2,0.0,3,0.02909090909090909,0.0,"[True, False, True, False, False, False, False, False, False, False]",True
8,PaLM 2,edpResults,9,0.4,0.0,3,0.06545454545454546,0.0,"[True, False, True, False, False, False, False, True, True, False]",True
9,PaLM 2,edpResults,10,0.3,0.0,3,0.05454545454545454,0.0,"[False, False, False, True, False, True, False, True, False, False]",True
0,Claude 2,edpResults,1,0.3,0.0,1,0.005454545454545454,0.0,"[False, False, True, False, False, True, False, False, False, True]",True
1,Claude 2,edpResults,2,0.7,0.0,1,0.025454545454545452,0.0,"[False, False, False, True, True, True, True, True, True, True]",True
2,Claude 2,edpResults,3,0.1,0.0,1,0.005454545454545455,0.0,"[False, True, False, False, False, False, False, False, False, False]",True
3,Claude 2,edpResults,4,0.5,0.0,1,0.03636363636363636,0.0,"[False, True, True, True, False, True, True, False, False, False]",True
4,Claude 2,edpResults,5,0.0,0.0,1,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
5,Claude 2,edpResults,6,0.2,0.0,1,0.02181818181818182,0.0,"[False, False, True, False, False, False, True, False, False, False]",True
6,Claude 2,edpResults,7,0.2,0.0,1,0.025454545454545455,0.0,"[False, False, False, False, True, False, False, True, False, False]",True
7,Claude 2,edpResults,8,0.1,0.0,1,0.014545454545454545,0.0,"[False, False, True, False, False, False, False, False, False, False]",True
8,Claude 2,edpResults,9,0.3,0.0,1,0.04909090909090909,0.0,"[False, False, True, False, False, False, False, True, True, False]",True
9,Claude 2,edpResults,10,0.0,0.0,1,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
0,Claude 2,edpResults,1,0.9,0.0,0,0.016363636363636365,0.0,"[False, True, True, True, True, True, True, True, True, True]",True
1,Claude 2,edpResults,2,0.5,0.0,0,0.01818181818181818,0.0,"[False, False, False, False, True, True, False, True, True, True]",True
2,Claude 2,edpResults,3,0.3,0.0,0,0.01636363636363636,0.0,"[True, True, False, False, False, False, True, False, False, False]",True
3,Claude 2,edpResults,4,0.5,0.0,0,0.03636363636363636,0.0,"[True, False, True, True, False, False, False, False, True, True]",True
4,Claude 2,edpResults,5,0.1,0.0,0,0.00909090909090909,0.0,"[False, False, True, False, False, False, False, False, False, False]",True
5,Claude 2,edpResults,6,0.4,0.0,0,0.04363636363636364,0.0,"[False, False, True, False, False, False, True, True, False, True]",True
6,Claude 2,edpResults,7,0.2,0.2,0,0.025454545454545455,0.02,"[False, False, False, False, True, False, False, True, 'failed', 'failed']",True
7,Claude 2,edpResults,8,0.3,0.0,0,0.04363636363636363,0.0,"[True, False, True, False, False, False, False, False, False, True]",True
8,Claude 2,edpResults,9,0.0,0.0,0,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
9,Claude 2,edpResults,10,0.0,0.0,0,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
0,GPT 4 Turbo,edpResults,3,0.6,0.0,-2,0.03461538461538461,0.0,"[True, False, False, True, True, False, True, False, True, True]",True
1,GPT 4 Turbo,edpResults,4,0.9,0.0,-2,0.06923076923076923,0.0,"[True, True, True, True, True, True, True, True, True, False]",True
2,GPT 4 Turbo,edpResults,5,0.5,0.0,-2,0.04807692307692308,0.0,"[True, True, False, True, False, True, False, False, False, True]",True
3,GPT 4 Turbo,edpResults,6,0.2,0.0,-2,0.02307692307692308,0.0,"[False, False, False, False, False, True, False, False, False, True]",True
4,GPT 4 Turbo,edpResults,7,0.3,0.0,-2,0.04038461538461539,0.0,"[False, False, True, False, False, False, True, False, False, True]",True
5,GPT 4 Turbo,edpResults,8,0.3,0.0,-2,0.04615384615384615,0.0,"[True, False, True, False, False, False, False, False, False, True]",True
6,GPT 4 Turbo,edpResults,9,0.6,0.0,-2,0.10384615384615384,0.0,"[True, False, True, True, True, False, True, False, False, True]",True
7,GPT 4 Turbo,edpResults,10,0.5,0.0,-2,0.09615384615384616,0.0,"[False, False, False, True, True, True, False, True, False, True]",True
0,PaLM 2,edpResults,1,0.6,0.0,2,0.010909090909090908,0.0,"[True, False, True, True, True, True, False, False, False, True]",True
1,PaLM 2,edpResults,2,0.1,0.0,2,0.0036363636363636364,0.0,"[False, False, False, True, False, False, False, False, False, False]",True
2,PaLM 2,edpResults,3,0.2,0.0,2,0.01090909090909091,0.0,"[False, False, False, True, False, True, False, False, False, False]",True
3,PaLM 2,edpResults,4,0.0,0.0,2,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
4,PaLM 2,edpResults,5,0.1,0.0,2,0.00909090909090909,0.0,"[False, False, False, False, False, False, False, True, False, False]",True
5,PaLM 2,edpResults,6,0.1,0.0,2,0.01090909090909091,0.0,"[True, False, False, False, False, False, False, False, False, False]",True
6,PaLM 2,edpResults,7,0.0,0.0,2,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
7,PaLM 2,edpResults,8,0.3,0.0,2,0.04363636363636363,0.0,"[True, False, True, False, False, False, False, False, False, True]",True
8,PaLM 2,edpResults,9,0.1,0.0,2,0.016363636363636365,0.0,"[False, True, False, False, False, False, False, False, False, False]",True
9,PaLM 2,edpResults,10,0.5,0.0,2,0.09090909090909091,0.0,"[False, False, True, True, False, True, False, True, True, False]",True
0,GPT 4 Turbo,edpResults,1,1.0,0.0,2,0.01818181818181818,0.0,"[True, True, True, True, True, True, True, True, True, True]",True
1,GPT 4 Turbo,edpResults,2,0.8,0.0,2,0.02909090909090909,0.0,"[False, True, True, False, True, True, True, True, True, True]",True
2,GPT 4 Turbo,edpResults,3,0.7,0.0,2,0.03818181818181818,0.0,"[True, True, True, False, True, True, False, True, True, False]",True
3,GPT 4 Turbo,edpResults,4,0.8,0.0,2,0.05818181818181818,0.0,"[True, True, True, True, False, True, True, True, False, True]",True
4,GPT 4 Turbo,edpResults,5,0.7,0.0,2,0.06363636363636363,0.0,"[True, True, True, True, True, True, False, False, False, True]",True
5,GPT 4 Turbo,edpResults,6,0.5,0.0,2,0.05454545454545454,0.0,"[False, False, True, False, False, True, True, True, False, True]",True
6,GPT 4 Turbo,edpResults,7,0.4,0.0,2,0.05090909090909091,0.0,"[False, False, True, False, False, True, True, False, False, True]",True
7,GPT 4 Turbo,edpResults,8,0.3,0.0,2,0.04363636363636363,0.0,"[True, False, True, False, False, False, False, False, False, True]",True
